"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@firebase/app","0.6.9","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fapp"
"nodejs","@firebase/app-types","0.6.1","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fapp-types"
"nodejs","@firebase/component","0.1.17","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fcomponent"
"nodejs","@firebase/installations","0.4.15","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Finstallations"
"nodejs","@firebase/installations-types","0.3.4","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Finstallations-types"
"nodejs","@firebase/logger","0.2.6","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Flogger"
"nodejs","@firebase/messaging","0.6.21","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fmessaging"
"nodejs","@firebase/messaging-types","0.4.5","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fmessaging-types"
"nodejs","@firebase/util","0.3.0","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Futil"
"nodejs","@quasar/extras","1.9.5","MIT","Copyright (c) 2015-present Razvan Stoenescu","https://www.npmjs.com/package/%40quasar%2Fextras"
"nodejs","axios","0.21.1","MIT","Copyright (c) 2014-present Matt Zabriskie","https://www.npmjs.com/package/axios"
"nodejs","axios-mock-adapter","1.18.2","MIT","Copyright (c) Colin Timmermans","https://www.npmjs.com/package/axios-mock-adapter"
"nodejs","camel-case","4.1.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/camel-case"
"nodejs","capital-case","1.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/capital-case"
"nodejs","change-case","4.1.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/change-case"
"nodejs","constant-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/constant-case"
"nodejs","core-js","3.6.5","MIT","Copyright (c) 2014-2023 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","dom-storage","2.1.0","Apache-2.0","","https://www.npmjs.com/package/dom-storage"
"nodejs","dot-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/dot-case"
"nodejs","faker","5.1.0","MIT","","https://www.npmjs.com/package/faker"
"nodejs","file-saver","2.0.5","MIT","Copyright Copyright 2016 [Eli Grey][1].","https://www.npmjs.com/package/file-saver"
"nodejs","follow-redirects","1.13.1","MIT","Copyright 2014–present Olivier Lalonde <olalonde@gmail.com>, James Talmage <james@talmage.io>, Ruben Verborgh","https://www.npmjs.com/package/follow-redirects"
"nodejs","header-case","2.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/header-case"
"nodejs","idb","3.0.2","ISC","Copyright (c) 2016, Jake Archibald <jaffathecake@gmail.com>","https://www.npmjs.com/package/idb"
"nodejs","is-buffer","1.1.6","MIT","Copyright (c) Feross Aboukhadijeh","https://www.npmjs.com/package/is-buffer"
"nodejs","lower-case","2.0.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/lower-case"
"nodejs","no-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/no-case"
"nodejs","param-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/param-case"
"nodejs","pascal-case","3.1.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/pascal-case"
"nodejs","path-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/path-case"
"nodejs","quasar","1.19.1","MIT","Copyright (c) 2015-present Razvan Stoenescu","https://www.npmjs.com/package/quasar"
"nodejs","sentence-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/sentence-case"
"nodejs","snake-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/snake-case"
"nodejs","tslib","2.2.0","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","upper-case","2.0.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/upper-case"
"nodejs","upper-case-first","2.0.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/upper-case-first"
"nodejs","vue-sync","3.2.0","WTFPL","","https://www.npmjs.com/package/vue-sync"
"nodejs","xmlhttprequest","1.8.0","MIT","Copyright (c) 2010 passive.ly LLC","https://www.npmjs.com/package/xmlhttprequest"
